PMID	Sample Type	Journal	Article Title	Abstract	Number of samples/patients
29261779		PloS one	Median regression spline modeling of longitudinal FEV1 measurements in cystic fibrosis (CF) and chronic obstructive pulmonary disease (COPD) patients.	"Clinical phenotyping, therapeutic investigations as well as genomic, airway secretion metabolomic and metagenomic investigations can benefit from robust, nonlinear modeling of FEV1 in individual subjects. We demonstrate the utility of measuring FEV1 dynamics in representative cystic fibrosis (CF) and chronic obstructive pulmonary disease (COPD) populations. Individual FEV1 data from CF and COPD subjects were modeled by estimating median regression splines and their predicted first and second derivatives. Classes were created from variables that capture the dynamics of these curves in both cohorts. Nine FEV1 dynamic variables were identified from the splines and their predicted derivatives in individuals with CF (n = 177) and COPD (n = 374). Three FEV1 dynamic classes (i.e. stable, intermediate and hypervariable) were generated and described using these variables from both cohorts. In the CF cohort, the FEV1 hypervariable class (HV) was associated with a clinically unstable, female-dominated phenotypes while stable FEV1 class (S) individuals were highly associated with the male-dominated milder clinical phenotype. In the COPD cohort, associations were found between the FEV1 dynamic classes, the COPD GOLD grades, with exacerbation frequency and symptoms. Nonlinear modeling of FEV1 with splines provides new insights and is useful in characterizing CF and COPD clinical phenotypes."	
24614401		Scientific reports	Modeling the impact of antibiotic exposure on human microbiota.	"Human-associated microbial communities play important roles in health and disease. Antibiotic administration is arguably one of the most important modifiable determinants of the composition of the human microbiota. However, quantitatively modeling antibiotic use to account for its impact on microbial community dynamics presents a challenge. We used antibiotic therapy of chronic lung infection in persons with cystic fibrosis as a model system to assess the influence of key variables of therapy on measures of microbial community perturbation. We constructed multivariate linear mixed models with bacterial community diversity as the outcome measure and various scales of antibiotic weighting as predictors, while controlling for other variables. Antibiotic weighting consisted of three components: (i) dosing duration; (ii) timing of administration relative to sample collection; and (iii) antibiotic type and route of administration. Antibiotic weighting based on total dose and proximity to the time of sampling was most predictive of bacterial community change. Using this model to control for antibiotic use enabled the identification of other significant independent predictors of microbial community diversity such as dominant taxon, disease stage, and gender. Quantitative modeling of antibiotic use is critical in understanding the relationships between human microbiota and disease treatment and progression."	
25992575		PloS one	Reduced bacterial colony count of anaerobic bacteria is associated with a worsening in lung clearance index and inflammation in cystic fibrosis.	"Anaerobic bacteria have been identified in abundance in the airways of cystic fibrosis (CF) subjects. The impact their presence and abundance has on lung function and inflammation is unclear. The aim of this study was to investigate the relationship between the colony count of aerobic and anaerobic bacteria, lung clearance index (LCI), spirometry and C-Reactive Protein (CRP) in patients with CF. Sputum and blood were collected from CF patients at a single cross-sectional visit when clinically stable. Community composition and bacterial colony counts were analysed using extended aerobic and anaerobic culture. Patients completed spirometry and a multiple breath washout (MBW) test to obtain LCI. An inverse correlation between colony count of aerobic bacteria (n = 41, r = -0.35; p = 0.02), anaerobic bacteria (n = 41, r = -0.44, p = 0.004) and LCI was observed. There was an inverse correlation between colony count of anaerobic bacteria and CRP (n = 25, r = -0.44, p = 0.03) only. The results of this study demonstrate that a lower colony count of aerobic and anaerobic bacteria correlated with a worse LCI. A lower colony count of anaerobic bacteria also correlated with higher CRP levels. These results indicate that lower abundance of aerobic and anaerobic bacteria may reflect microbiota disruption and disease progression in the CF lung."	
28194750		Clinical and experimental immunology	Differential responses of human dendritic cells to metabolites from the oral/airway microbiome.	"Small molecule metabolites that are produced or altered by host-associated microbial communities are emerging as significant immune response modifiers. However, there is a key gap in our knowledge of how oral microbial metabolites affect the immune response. Here, we examined the effects of metabolites from five bacterial strains found commonly in the oral/airway microbial communities of humans. The five strains, each isolated from cystic fibrosis patient sputum, were Pseudomonas aeruginosa FLR01 non-mucoid (P1) and FLR02 mucoid (P2) forms, Streptococcus pneumoniae (Sp), S. salivarius (Ss) and Rothia mucilaginosa (Rm). The effect of bacterial metabolites on dendritic cell (DC) activation, T cell priming and cytokine secretion was determined by exposing DCs to bacterial supernatants and individual metabolites of interest. Supernatants from P1 and P2 induced high levels of tumour necrosis factor (TNF)-α, interleukin (IL)-12 and IL-6 from DCs and primed T cells to secrete interferon (IFN)-γ, IL-22 compared to supernatants from Sp, Ss and Rm. Investigations into the composition of supernatants using gas chromatography-mass spectroscopy (GC-MS) revealed signature metabolites for each of the strains. Supernatants from P1 and P2 contained high levels of putrescine and glucose, while Sp and Ss contained high levels of 2,3-butanediol. The individual metabolites replicated the results of whole supernatants, although the magnitudes of their effects were reduced significantly. Altogether, our data demonstrate for the first time that the signature metabolites produced by different bacteria have different effects on DC functions. The identification of signature metabolites and their effects on the host immune system can provide mechanistic insights into diseases and may also be developed as biomarkers."	
29504898		BMC genomics	On Burkholderiales order microorganisms and cystic fibrosis in Russia.	"Microbes infecting cystic fibrosis patients' respiratory tract are important in determining patients' functional status. Representatives of Burkholderiales order are the most dangerous. The goal of our investigation was to reveal the diversity of Burkholderiales, define of their proportion in the microbiome of various parts of respiratory tract and determine the pathogenicity of the main representatives. In more than 500 cystic fibrosis patients, representing all Federal Regions of Russia, 34.0% were infected by Burkholderia cepacia complex (Bcc), 21.0% by Achromobacter spp. and 12.0% by Lautropia mirabilis. B. cenocepacia was the most numerous species among the Bcc (93.0%), and A. ruhlandii was the most numerous among Achromobacter spp. (58.0%). The most abundant genotype in Bcc was sequence type (ST) 709, and in Achromobacter spp. it was ST36. These STs constitute Russian epidemic strains. Whole genome sequencing of strains A. ruhlandii SCCH3:Ach33-1365 ST36 and B. cenocepacia GIMC4560:Bcn122 ST709 revealed huge resistomes and many virulence factors, which may explain the difficulties in eradicating these strains. An experience of less dangerous B. cenocepcia ST710 elimination was described. Massively parallel sequencing of 16S rDNA amplicons, including V1-V4 hypervariable regions, was used to definite ""healthy"" microbiome characteristics. Analysis of maxillary sinus lavage of 7 patients revealed infection with Proteobacteria of the same ST as pathogens from sputum, suggesting that the maxillary sinus is a source of infection in cystic fibrosis patients. Characterization of the Russian epidemic bacterial strains in the sputum and sinuses of cystic fibrosis patients have better defined the importance of Burkholderiales bacteria. This information may aid in the development of effective approaches for treatment of this disease."	
25710466		PloS one	Environment and colonisation sequence are key parameters driving cooperation and competition between Pseudomonas aeruginosa cystic fibrosis strains and oral commensal streptococci.	"Cystic fibrosis (CF) patient airways harbour diverse microbial consortia that, in addition to the recognized principal pathogen Pseudomonas aeruginosa, include other bacteria commonly regarded as commensals. The latter include the oral (viridans) streptococci, which recent evidence indicates play an active role during infection of this environmentally diverse niche. As the interactions between inhabitants of the CF airway can potentially alter disease progression, it is important to identify key cooperators/competitors and environmental influences if therapeutic intervention is to be improved and pulmonary decline arrested. Importantly, we recently showed that virulence of the P. aeruginosa Liverpool Epidemic Strain (LES) could be potentiated by the Anginosus-group of streptococci (AGS). In the present study we explored the relationships between other viridans streptococci (Streptococcus oralis, Streptococcus mitis, Streptococcus gordonii and Streptococcus sanguinis) and the LES and observed that co-culture outcome was dependent upon inoculation sequence and environment. All four streptococcal species were shown to potentiate LES virulence factor production in co-culture biofilms. However, in the case of S. oralis interactions were environmentally determined; in air cooperation within a high cell density co-culture biofilm occurred together with stimulation of LES virulence factor production, while in an atmosphere containing added CO2 this species became a competitor antagonising LES growth through hydrogen peroxide (H2O2) production, significantly altering biofilm population dynamics and appearance. Streptococcus mitis, S. gordonii and S. sanguinis were also capable of H2O2 mediated inhibition of P. aeruginosa growth, but this was only visible when inoculated as a primary coloniser prior to introduction of the LES. Therefore, these observations, which are made in conditions relevant to the biology of CF disease pathogenesis, show that the pathogenic and colonisation potential of P. aeruginosa isolates can be modulated positively and negatively by the presence of oral commensal streptococci."	
31604089		Cellular and molecular gastroenterology and hepatology	"Bile Acids, Microbiota, and Cystic Fibrosis: Channeling Intestinal FXR Signals."		
31774321		Annals of the American Thoracic Society	Bacterial Community Variability: Outliers May Be Leading Us Astray.		
24586292		PloS one	Disrupted intestinal microbiota and intestinal inflammation in children with cystic fibrosis and its restoration with Lactobacillus GG: a randomised clinical trial.	"Intestinal inflammation is a hallmark of cystic fibrosis (CF). Administration of probiotics can reduce intestinal inflammation and the incidence of pulmonary exacerbations. We investigated the composition of intestinal microbiota in children with CF and analyzed its relationship with intestinal inflammation. We also investigated the microflora structure before and after Lactobacillus GG (LGG) administration in children with CF with and without antibiotic treatment. The intestinal microbiota were analyzed by denaturing gradient gel electrophoresis (DGGE), real-time polymerase chain reaction (RT-PCR), and fluorescence in situ hybridization (FISH). Intestinal inflammation was assessed by measuring fecal calprotectin (CLP) and rectal nitric oxide (rNO) production in children with CF as compared with healthy controls. We then carried out a small double-blind randomized clinical trial with LGG. Twenty-two children with CF children were enrolled in the study (median age, 7 years; range, 2-9 years). Fecal CLP and rNO levels were higher in children with CF than in healthy controls (184±146 µg/g vs. 52±46 µg/g; 18±15 vs. 2.6±1.2 µmol/L NO2 (-), respectively; P<0.01). Compared with healthy controls, children with CF had significantly different intestinal microbial core structures. The levels of Eubacterium rectale, Bacteroides uniformis, Bacteroides vulgatus, Bifidobacterium adolescentis, Bifidobacterium catenulatum, and Faecalibacterium prausnitzii were reduced in children with CF. A similar but more extreme pattern was observed in children with CF who were taking antibiotics. LGG administration reduced fecal CLP and partially restored intestinal microbiota. There was a significant correlation between reduced microbial richness and intestinal inflammation. CF causes qualitative and quantitative changes in intestinal microbiota, which may represent a novel therapeutic target in the treatment of CF. Administration of probiotics restored gut microbiota, supporting the efficacy of probiotics in reducing intestinal inflammation and pulmonary exacerbations. ClinicalTrials.gov NCT 01961661."	
24437409		Annals of the American Thoracic Society	The cystic fibrosis lung microbiome.	"The chronic colonization of the lower airways by bacterial pathogens is the leading cause of morbidity and mortality in patients with cystic fibrosis (CF). Pseudomonas aeruginosa is the most common CF pathogen, followed by Staphylococcus aureus. Improvements in airway clearance and more effective treatment of the conventional CF pathogens has led to the emergence of new airway pathogens such as Stenotrophomonas maltophilia, Mycobacterium abscessus, and Achromobacter. More recently, it has become appreciated that the lower airways in patients with CF are colonized by a more complex polymicrobial community composed primarily of bacteria found in the upper respiratory tract. This includes obligate anaerobes, most commonly Prevotella. Expanded culturing methods and culture-independent molecular methods are being used to characterize the composition and dynamics of these polymicrobial communities in patients with CF. The contribution of the CF microbiome to airway disease is actively being investigated and will present new opportunities for disease management in CF. However, there remain many challenges that must be overcome if microbiome profiling is going to inform clinical practice."	
23847148		Pediatric pulmonology	Serum metabolomics indicate altered cellular energy metabolism in children with cystic fibrosis.	"Cystic fibrosis (CF) is a multi-system disease affecting multiple organs and cells besides the respiratory system. Metabolomic profiling allows simultaneous detection of biochemicals originating from cells, organs, or exogenous origin that may be valuable for monitoring of disease severity or in diagnosis. We hypothesized that metabolomics using serum from children would differentiate CF from non-CF lung disease subjects and would provide insight into metabolism in CF. Serum collected from children with CF (n = 31) and 31 age and gender matched children with other lung diseases was used for metabolomic profiling by gas- and liquid-chromatography. Relative concentration of metabolites was compared between the groups using partial least square discriminant analyses (PLS-DA) and linear modeling. A clear separation of the two groups was seen in PLS-DA. Linear model found that among the 459 detected metabolites 92 differed between CF and non-CF. These included known biochemicals in lipid metabolism, oxidants, and markers consistent with abnormalities in bile acid processing. Bacterial metabolites were identified and differed between the groups indicating intestinal dysbiosis in CF. As a novel finding several pathways were markedly different in CF, which jointly point towards decreased activity in the β-oxidation of fatty acids. These pathways include low ketone bodies, low medium chain carnitines, elevated di-carboxylic acids and decreased 2-hydroxybutyrate from amino acid metabolism in CF compared to non-CF. Serum metabolomics discriminated CF from non-CF and show altered cellular energy metabolism in CF potentially reflecting mitochondrial dysfunction. Future studies are indicated to examine their relation to the underlying CF defect and their use as biomarkers for disease severity or for cystic fibrosis transmembrane regulator (CFTR) function in an era of CFTR modifying drugs."	
27571488		Biotechnology and bioengineering	Discriminating typical and atypical cystic fibrosis-related bacteria by multiplex PNA-FISH.	"This study aims to report the development of peptide nucleic acid (PNA) probes to specifically detect the cystic fibrosis (CF)-associated traditional and atypical species Pseudomonas aeruginosa and Inquilinus limosus, respectively. PNA probes were designed in silico, developed and tested in smears prepared in phosphate-buffer saline (PBS), and in artificial sputum medium (ASM). A multiplex fluorescent in situ hybridization (FISH) approach using the designed probes was further validated in artificially contaminated clinical sputum samples and also applied in polymicrobial 24 h-old biofilms involving P. aeruginosa, I. limosus, and other CF-related bacteria. Both probes showed high predictive and experimental specificities and sensitivities. The multiplex PNA-FISH assay, associated with non-specific staining, was successfully adapted in the clinical samples and in biofilms of CF-related bacteria, allowing differentiating the community members and inferring about microbial-microbial interactions within the consortia. This study revealed the great potential of PNA-FISH as a diagnostic tool to discriminate between classical and less common CF-associated bacteria, being suitable to further describe species-dependent prevention strategies and deliver more effective target control therapeutics. Biotechnol. Bioeng. 2017;114: 355-367. © 2016 Wiley Periodicals, Inc."	
35230145		Journal of aerosol medicine and pulmonary drug delivery	Microbiome Profiles of Nebulizers in Hospital Use.	"Nebulizers are used to provide treatment to respiratory patients. Concerns over nosocomial infection risks from contaminated nebulizers raise the critical need to identify all microbial populations in nebulizers used by patients. However, conventional culture-dependent techniques are inadequate with the ability to identify specific microbial populations only. Therefore, the aims of this study were to acquire complete profiles of microbiomes in nebulizers used by in-patients with culture-independent high-throughput sequencing and identify sources of microbial contaminants for the development of effective practices to reduce microbial contamination in nebulizer devices.  This study was conducted at the University of Tennessee Medical Center in Knoxville, TN. Nebulizers were collected between May 2018 and October 2018 from inpatients admitted to the floors for pneumonia or chronic obstructive pulmonary disease exacerbations. Nebulizers were sampled for 16S rRNA gene-based amplicon sequencing to profile nebulizer microbiomes and perform phylogenetic analysis. A Bayesian community-wide culture-independent microbial source tracking technique was used to quantify the contribution of human-associated microbiota as potential sources of nebulizer contamination.  Culture-independent sequencing detected diverse microbial populations in nebulizers, represented by 18 abundant genera.  was identified as the most abundant genus, accounting for 12.4% of the nebulizer microbiome, followed by , , , and . Phylogenetic analysis revealed the presence of multiple phylotypes with close relationship to potential pathogens. Contributing up to 15% to nebulizer microbiomes, human-associated microbiota was not identified as the primary sources of nebulizer contamination.  Culture-independent sequencing was demonstrated to be capable of acquiring comprehensive profiles of microbiomes in nebulizers used by in-patients. Phylogenetic analysis identified differences in pathogenicity between closely related phylotypes. Microbiome profile-enabled community-wide culture-independent microbial source tracking suggested greater importance of environmental sources than human sources as contributors to nebulizer microbiomes, providing important insight for the development of effective strategies for the monitoring and control of nebulizer devices to mitigate infection risks in the hospital."	
36573804		Gut microbes	Diet and the gut-lung axis in cystic fibrosis - direct & indirect links.	"Cystic fibrosis (CF) is a multisystem, autosomal, recessive disease primarily affecting the lungs, pancreas, gastrointestinal tract, and liver. Whilst there is increasing evidence of a microbial 'gut-lung axis' in chronic respiratory conditions, there has been limited analysis of such a concept in CF. We performed a comprehensive dietary and microbiota analysis to explore the interactions between diet, gastrointestinal microbiota, respiratory microbiota, and clinical outcomes in children with CF. Our results demonstrate significant alterations in intestinal inflammation and respiratory and gastrointestinal microbiota when compared to age and gender matched children without CF. We identified correlations between the gastrointestinal and respiratory microbiota, lung function, CF pulmonary exacerbations and anthropometrics, supporting the concept of an altered gut-lung axis in children with CF. We also identified significant differences in dietary quality with CF children consuming greater relative proportions of total, saturated and trans fats, and less relative proportions of carbohydrates, wholegrains, fiber, insoluble fiber, starch, and resistant starch. Our findings position the CF diet as a potential modulator in gastrointestinal inflammation and the proposed gut-lung axial relationship in CF. The dietary intake of wholegrains, fiber and resistant starch may be protective against intestinal inflammation and should be explored as potential therapeutic adjuvants for children with CF."	
29106682		Toxicological sciences : an official journal of the Society of Toxicology	Insights Into a Possible Influence on Gut Microbiota and Intestinal Barrier Function During Chronic Exposure of Mice to Imazalil.	"The fungicide imazalil (IMZ) is widely used to prevent and treat fungal diseases in plants and animals. Here, male adult C57BL/6 mice were exposed to 0.1, 0.5, and 2.5 mg/kg body weight IMZ for 2, 5, or 15 weeks. The microbiota in cecal contents and feces changed during chronic IMZ exposure at phylum and genus levels. Sequencing of the V3-V4 region of the bacterial 16S rRNA gene revealed a significant change in the richness of microbiota in cecal contents and feces after exposure to 2.5 mg/kg IMZ for 15 weeks. Operational taxonomic unit (OTU) analysis indicated that 31.1% of cecal OTUs and 14.0% of fecal OTUs changed after IMZ exposure. In addition, chronic IMZ exposure also disturbed the intestinal barrier function of the mice, reducing mucus secretion, decreasing the expression of cystic fibrosis transmembrane conductance regulator (CFTR)-related genes in both the ileum and colon. Molecular docking analysis revealed that key hydrogen bonds were formed by nitrogen atoms of the imidazole bond with Val440 of CFTR and Ala697 of the SLC26 family. Our data suggested that gut microbiota and intestinal barrier were potential toxicological targets of IMZ."	
28094327		Scientific reports	Rapid adaptation drives invasion of airway donor microbiota by Pseudomonas after lung transplantation.	"In cystic fibrosis (CF) patients, chronic airway infection by Pseudomonas leads to progressive lung destruction ultimately requiring lung transplantation (LT). Following LT, CF-adapted Pseudomonas strains, potentially originating from the sinuses, may seed the allograft leading to infections and reduced allograft survival. We investigated whether CF-adapted Pseudomonas populations invade the donor microbiota and adapt to the non-CF allograft. We collected sequential Pseudomonas isolates and airway samples from a CF-lung transplant recipient during two years, and followed the dynamics of the microbiota and Pseudomonas populations. We show that Pseudomonas invaded the host microbiota within three days post-LT, in association with a reduction in richness and diversity. A dominant mucoid and hypermutator mutL lineage was replaced after 11 days by non-mucoid strains. Despite antibiotic therapy, Pseudomonas dominated the allograft microbiota until day 95. We observed positive selection of pre-LT variants and the appearance of novel mutations. Phenotypic adaptation resulted in increased biofilm formation and swimming motility capacities. Pseudomonas was replaced after 95 days by a microbiota dominated by Actinobacillus. In conclusion, mucoid Pseudomonas adapted to the CF-lung remained able to invade the allograft. Selection of both pre-existing non-mucoid subpopulations and of novel phenotypic traits suggests rapid adaptation of Pseudomonas to the non-CF allograft."	
36154176	metagenomics	Microbiology spectrum	Impact of Elexacaftor/Tezacaftor/Ivacaftor Therapy on the Cystic Fibrosis Airway Microbial Metagenome.	"The introduction of mutation-specific combination therapy with the cystic fibrosis transmembrane conductance regulator (CFTR) modulators elexacaftor/tezacaftor/ivacaftor (ELX/TEZ/IVA) has substantially improved lung function and quality of life of people with cystic fibrosis (CF). Collecting deep cough swabs and induced sputum, this postapproval study examined the effect of 14- and 50-week treatment with ELX/TEZ/IVA on the airway microbial metagenome of pancreatic- insufficient CF patients aged 12 years and older. Compared to pretreatment, the total bacterial load decreased, the individual species were more evenly distributed in the community, and the individual microbial metagenomes became more similar in their composition. However, the microbial network remained vulnerable to fragmentation. The initial shift of the CF metagenome was attributable to the ELX/TEZ/IVA-mediated gain of CFTR activity followed by a diversification driven by a group of commensals at the 1-year time point that are typical for healthy airways.  Shotgun metagenome sequencing of respiratory secretions with spike-in controls for normalization demonstrated that 1 year of high-efficient CFTR modulation with elexacaftor/tezacaftor/ivacaftor extensively reduced the bacterial load. Longer observation periods will be necessary to resolve whether the partial reversion of the basic defect that is achieved with ELX/TEZ/IVA is sufficient in the long run to render the CF lungs robust against the recolonization with common opportunistic pathogens."	?
28301571		PloS one	Modulation of behaviour and virulence of a high alginate expressing Pseudomonas aeruginosa strain from cystic fibrosis by oral commensal bacterium Streptococcus anginosus.	"Cystic fibrosis (CF) airways harbour complex and dynamic polymicrobial communities that include many oral bacteria. Despite increased knowledge of CF airway microbiomes the interaction between established CF pathogens and other resident microbes and resulting impact on disease progression is poorly understood. Previous studies have demonstrated that oral commensal streptococci of the Anginosus group (AGS) can establish chronic pulmonary infections and become numerically dominant in CF sputa indicating that they play an important role in CF microbiome dynamics. In this study a strain of Pseudomonas aeruginosa (DWW2) of the mucoid alginate overproducing phenotype associated with chronic CF airway infection and a strain of the oral commensal AGS species Streptococcus anginosus (3a) from CF sputum were investigated for their ability to co-exist and their responses to biofilm co-culture. Bacteria in biofilms were quantified, pyocyanin expression by DWW2 was measured and the effect of AGS strain 3a on reversion of DWW2 to a non-mucoidal phenotype investigated. The virulence of DWW2, 3a and colony variant phenotypes of DWW2 in mono- and co-culture were compared in a Galleria mellonella infection model. Co-culture biofilms were formed in normoxic, hypercapnic (10% CO2) and anoxic atmospheres with the streptococcus increasing in number in co-culture, indicating that these bacteria would be able to co-exist and thrive within the heterogeneous microenvironments of the CF airway. The streptococcus caused increased pyocyanin expression by DWW2 and colony variants by stimulating reversion of the mucoid phenotype to the high pyocyanin expressing non-mucoid phenotype. The latter was highly virulent in the infection model with greater virulence when in co-culture with the streptococcus. The results of this study demonstrate that the oral commensal S. anginosus benefits from interaction with P. aeruginosa of the CF associated mucoid phenotype and modulates the behaviour of the pseudomonad in ways that may be clinically relevant."	
28070022		Journal of breath research	Stable isotope profiles reveal active production of VOCs from human-associated microbes.	"Volatile organic compounds (VOCs) measured from exhaled breath have great promise for the diagnosis of bacterial infections. However, determining human or microbial origin of VOCs detected in breath remains a great challenge. For example, the microbial fermentation product 2,3-butanedione was recently found in the breath of Cystic Fibrosis (CF) patients; parallel culture-independent metagenomic sequencing of the same samples revealed that Streptococcus and Rothia spp. have the genetic capacity to produce 2,3-butanedione. To investigate whether the genetic capacity found in metagenomes translates to bacterial production of a VOC of interest such as 2,3-butanedione, we fed stable isotopes to three bacterial strains isolated from patients: two gram-positive bacteria, Rothia mucilaginosa and Streptococcus salivarius, and a dominant opportunistic gram-negative pathogen, Pseudomonas aeruginosa. Culture headspaces were collected and analyzed using a gas chromatographic system to quantify the abundance of VOCs of interest; mass spectroscopy was used to determine whether the stable isotope label had been incorporated. Our results show that R. mucilaginosa and S. salivarius consumed D-Glucose-C to produce labeled 2,3-butanedione. R. mucilaginosa and S. salivarius also produced labeled acetaldehyde and ethanol when grown with HO. Additionally, we find that P. aeruginosa growth and dimethyl sulfide production are increased when exposed to lactic acid in culture. These results highlight the importance VOCs produced by P. aeruginosa, R. mucilaginosa, and S. salivarius as nutrients and signals in microbial communities, and as potential biomarkers in a CF infection."	
31709946		Tuberkuloz ve toraks	[Investigation of role of anaerobic bacteria in cystic fibrosis patients].	"Repetitive pulmonary infections are the main cause of morbidity and mortality in cystic fibrosis (CF) patients. In recent years, non-culture dependent metagenomic studies showed complex dynamics of the pulmonary environment of CF patients and pointed out the importance of anaerobic bacteria. Molecular-based studies indicate that anaerobic bacteria can be found more than aerobic or facultative anaerobic bacteria in CF lung environment. However, limited number of studies are far away to clarify the importance of anaerobic bacteria in CF pulmonary disease. The aim of this study was to evaluate the role of anaerobic bacteria in CF patients admitted to Hacettepe University, Pediatric Respiratory Diseases Department, by using quantitative culture method for both aerobic and anaerobic bacteria. Anaerobic bacteria were identified by conventional and semi-automated methods. Antibiotic susceptibilities were performed by agar dilution method. Seventy-seven anaerobic bacteria were isolated from 35 (81.4%) of 43 patients. The total count of anaerobes and facultative bacteria (mean 16 x 106), was higher than aerobes and facultative bacteria (mean 14.1 x 106). If anaerobe culture were not performed merely 63.65% of all species could be obtained. In patients whose samples yielded intermediate or high numbers of PMNLs, significantly more obligate anaerobic bacteria were isolated (p= 0.046). Patients older than 18 years were colonized with higher number of anaerobic bacteria. Susceptibilities of 72 isolates out of 77, against ampicillin, sulbactam-ampicillin, piperacillin, piperacillin-tazobactam, moxifloxacin, metronidazole, imipenem, and clindamycin were also evaluated. Clindamycin was found to be the least effective antibiotic among all. None of the isolates was resistant to imipenem. This is the first study to show the role and importance of anaerobic bacteria in CF patients in our country. The resistance rates in anaerobic bacteria isolated from CF patients is concerning. Therefore, intermittent anaerobic culture and follow-up of resistance rates will be helpful in the follow-up of these patients."	
33669429		Journal of personalized medicine	Intestinal Dysbiosis in Young Cystic Fibrosis Rabbits.	"Individuals with cystic fibrosis (CF) often experience gastrointestinal (GI) abnormalities. In recent years, the intestinal microbiome has been postulated as a contributor to the development of CF-associated GI complications, hence representing a potential therapeutic target for treatment. We recently developed a rabbit model of CF, which is shown to manifest many human patient-like pathological changes, including intestinal obstruction. Here, we investigated the feces microbiome in young CF rabbits in the absence of antibiotics treatment. Stool samples were collected from seven- to nine-week-old CF rabbits ( = 7) and age-matched wild-type (WT) rabbits ( = 6). Microbiomes were investigated by iTag sequencing of 16S rRNA genes, and functional profiles were predicted using PICRUSt. Consistent with reports of those in pediatric CF patients, the fecal microbiomes of CF rabbits are of lower richness and diversity than that of WT rabbits, with a marked taxonomic and inferred functional dysbiosis. Our work identified a new CF animal model with the manifestation of intestinal dysbiosis phenotype. This model system may facilitate the research and development of novel treatments for CF-associated gastrointestinal diseases."	
33053427		Acta biomaterialia	Material properties of interfacial films of mucoid and nonmucoid Pseudomonas aeruginosa isolates.	"Chronic lung infection with bacterial biofilms is a leading cause of death in cystic fibrosis (CF) patients. Pseudomonas aeruginosa, one of the many species colonizing the lung airways, can undergo pathoadaptation, leading to a mucoid phenotype with interesting material properties. We hypothesize that the surface properties and extracellular materials of mucoid P. aeruginosa cells greatly influence the mechanical behavior of their films at fluid interfaces. In this study, we investigate the interfacial properties of films formed by nonmucoid (PANT) and mucoid (PASL) strains of P. aeruginosa isolated from CF patients. We use pendant drop elastometry to analyze the interfacial response of the films formed by PANT and PASL at the hexadecane-water interface. The dynamic rheological analyses of the films highlight the distinctive signature of the mucoid strains at fluid interfaces. The mucoid films exhibit greater relaxation following a compressive strain than a tensile one, while a full hysteresis response is achieved by the nonmucoid films; this indicates that the material properties of the PANT films are conserved under both compression and tension. The wrinkling and shape analyses of the interfacial bacterial films elucidate that the mucoid strain exhibits remarkable viscoelastic properties, enabling the remodeling of the living films and dissipation of the compressive stress. The comparative analysis of the material properties of mucoid and nonmucoid P. aeruginosa cells indicates that mucoid switch can play an important role in protecting the bacteria from interfacial stresses. Further characterization of interfacial bacterial films will provide new insights into the development of methods for controlling interfacial films of bacteria."	
35174108	microbial genomics	Frontiers in cellular and infection microbiology	"{'i': 'P. aeruginosa', '#text': 'Commensal Bacteria in the Cystic Fibrosis Airway Microbiome Reduce  Induced Inflammation.'}"	"Chronic  infections play an important role in the progress of lung disease in patients suffering from cystic fibrosis (CF). Recent studies indicate that polymicrobial microbiome profiles in the airway are associated with less inflammation. Thus, the hypothesis was raised that certain commensal bacteria might protect the host from inflammation. We therefore performed a screening study with commensals isolated from CF airway microbiome samples to identify potential beneficial commensals. We isolated more than 80 aerobic or facultative anaerobic commensal strains, including strains from genera , , , , ,  and . Through a screening experiment of co-infection in human epithelial cell lines, we identified multiple commensal strains, especially strains belonging to , that reduced  triggered inflammatory responses. The results were confirmed by co-infection experiments in  precision cut lung slices (PCLS) from mice. The underlying mechanisms of the complex host-pathogen-commensal crosstalk were investigated from both the host and the bacterial sides with a focus on . Transcriptome changes in the host in response to co-infection and mono-infection were evaluated, and the results indicated that several signalling pathways mediating inflammatory responses were downregulated by co-infection with  compared to  mono-infection, such as neutrophil extracellular trap formation. The genomic differences among  strains with and without protective effects were investigated by whole genome sequencing, revealing genes only present in the  strains showing protective effects. In summary, through both  and  studies, we could identify a variety of commensal strains that may reduce host inflammatory responses induced by  infection. These findings support the hypothesis that CF airway commensals may protect the host from inflammation."	
